storyID,comment,prerequisites,effects,questionBefores,questionAfter,choiceIns,choiceOuts,content
q120,Q11,,,,,"c111.0, c111.1, c111.2, c112.0, c112.1, c112.2, c112.3","c120.0, c120.1, c120.2, c120.3, c120.4, c120.5, c120.6",Q11: What do you wish you had more of?
q130,Q12,,,,,"c120.0, c120.1, c120.2, c120.3, c120.4, c120.5, c120.6","c130.0, c130.1, c130.2, c130.3, c130.4, c130.5, c130.6",Q12: Which subject interests you least?
q140,Q13,,Normal Font,,,"c130.0, c130.1, c130.2, c130.3, c130.4, c130.5, c130.6","c140.0, c140.1, c140.2, c140.3, c140.4, c140.5, c140.6",Q13: What are you most excited for once school begins?
q150,quiz ended,,,,q151,"c140.0, c140.1, c140.2, c140.3, c140.4, c140.5, c140.6",,"You finish answering all of the questions and plug them into the form letter provided by Headmistress McMillan.  Feeling good about your answers, you fold the letter up and place it in the envelope that came along with it.  The headmistress’s letter also requested you include your school transcript and a list of your best skills.  It’s short work before they’re all tucked safely away in the envelope.  You seal it, admiring how thick and puffy the contents are, and know that all that remains is to send it to Aeithlynik so they can decide your fate."
q151,,,,q150,q152,,,"The envelope is already addressed, so you decide to take a short walk into town to mail it right away.  The mail room in your town is in a small building off of the millinery shop.  You let yourself be distracted by the window display of hats as you work up your courage to mail off your application."
q152,,,,q151,q153,,,"Doors jingle to your sides as customers enter the hat shop and mail room.  With a moment of quick prayer that all will go well and a few deep breaths, you make the decision to mail your school application now.  The mail room door jangles as you push it open and walk in.  “Hello,” a deep voice welcomes you.  “How can I help you today?”"
q153,,,,q152,q154,,,"You hold up the letter in front of you as you walk to the counter the mailman is standing behind.  “Ah,” he says, a smile crinkling the corners of his mouth.  “Applying to Aeithlynik, are you?”  You gulp and manage a nod.  He nods sagely back.  “I’ll make sure it gets there safe and sound.”  He holds out a large hand, and you place the envelope in it."
q154,,,,q153,q155,,,"Before you can say a word, he places the envelope in a basket where it promptly disappears.  He chuckles at your reaction.  “The basket is connected to the school—whatever I put in here they receive in their own basket.  Your letter has already arrived!”  How expedient.  How magical!"
q155,,,,q154,q156,,,"There’s nothing else you can do; it’s completely out of your hands now.  You thank the kind mailman and leave.  The day is sunny and not too warm, and you quickly make plans for the rest of the day, feeling much freer all of a sudden."
q156,,,State of Acceptance,q155,,,"c156.0, c156.1, c156.2, c156.3, c156.4, c156.5","It isn’t long before that free feeling vanishes.  You know you’ll hear back from the school in a couple weeks or so, but the wait is agonizing.  The end of summer is approaching, and while you’re hopeful, you won’t know whether you’ve gotten into Aeithlynik or will have to attend the public school until you receive the letter.  You feel your future on tenterhooks and spend your days distracting yourself around the house or in town until the letter you’ve been waiting for arrives."
q160,,,,,q171,c156.0,,"(Divining is not your highest/second highest score, and the highest score is less than 10) You hold the letter in front of you, trying to see through the envelope before you open it, as if to get a hint of whether it holds disappointment or joy.  The paper is too thick for you to get a good sense (unless you’re a divining major, of course, or have divining as your highest/second highest score), so after a final, bated breath, you tear open the envelope with one finger and pull out your future.  The letter is written on thick paper, same as the envelope, and crisply folded into thirds.  You won’t be able to see anything that’s written until you open it up. (LEADS TO UNKNOWN REJECTION)"
q161,,,,,q172,c156.1,,"(Divining is not your highest/second highest score, and the highest score is more than 10) You hold the letter in front of you, trying to see through the envelope before you open it, as if to get a hint of whether it holds disappointment or joy.  The paper is too thick for you to get a good sense (unless you’re a divining major, of course, or have divining as your highest/second highest score), so after a final, bated breath, you tear open the envelope with one finger and pull out your future.  The letter is written on thick paper, same as the envelope, and crisply folded into thirds.  You won’t be able to see anything that’s written until you open it up. (LEADS TO UNKNOWN ACCEPTANCE)"
q162,,,,,q170,c156.2,,"(Divining is your highest/second highest score (and is more than ten), and the highest score is less than 10) You hold the letter in front of you, your fingers tingling.  Focusing only on the envelope and its contents, you try to get a read off of what might be inside.  Sometimes you get feelings from things, and this time is no different.  You get a sinking feeling in your stomach, and your excitement abates quickly.  Whatever it says in here, you don’t think you’re going to like it.  “Well, here goes…” you mutter, and slowly open the envelope, preparing yourself the entire time for the worst.  The letter is crisply folded, and you take another moment to send last-minute hopefully thoughts that it won’t be as bad as you fear. (LEADS TO PRETTY SURE OF REJECTION)"
q163,,,,,q173,c156.3,,"(Divining is your highest/second highest score (and is more than ten), and the highest score is over 10) You hold the letter in front of you, your fingers tingling.  Focusing only on the envelope and its contents, you try to get a read off of what might be inside.  You tend to get feelings from items you feel emotional about, and sure enough you get a read almost right away.  Without thinking about it, you feel more excited than ever.  Practically shaking, you rip open the envelope, unable to wait a single moment more before you know for sure where you’ll be this fall.  The letter is crisply folded, and you take another moment to send hopeful thoughts into the world before you open it. (LEADS TO PRETTY SURE OF ACCEPTANCE) "
q164,,,,,q171,c156.4,,"(Divining is your highest/second highest score (but is less than ten), and the highest score is less than 10) You hold the letter in front of you, your fingers tingling.  Focusing only on the envelope and its contents, you try to get a read off of what might be inside.  Sometimes you get feelings from things you feel emotional about, and you concentrate really hard on this envelope.  You’re not getting anything, except a vague sense of disappointment.  Is there a rejection letter in here, or is it just disappointment in yourself?  With bated breath, you carefully open the envelope, mental fingers crossed and murmured prayers filling the air around you until you finally extract the crisply folded letter. (LEADS TO UNKNOWN REJECTION)"
q165,,,,,q172,c156.5,,"(Divining is your highest/second highest score (but is less than ten), and the highest score is over 10) You hold the letter in front of you, your fingers tingling.  Focusing only on the envelope and its contents, you try to get a read off of what might be inside.  Sometimes you get feelings from things you feel emotional about, and you concentrate really hard on this envelope.  You’re not getting anything, except a vague sense of disappointment.  Is there a rejection letter in here, or is it just disappointment in yourself?  With bated breath, you carefully open the envelope, mental fingers crossed and murmured prayers filling the air around you until you finally extract the crisply folded letter. (LEADS TO UNKNOWN ACCEPTANCE)"
q170,,,,q162,q180,,,"(PRETTY SURE OF REJECTION) You drop the envelope as you unfold the letter with shaky fingers.  Your fingers get stuck for an instant in the folds of the letter before you manage to press it flat.  You’re afraid to skim through and see news you’re not ready for, so you do your best to keep your eyes glued to each line from the top as you read them."
q171,,,,"q160, q164",q180,,,"(UNKNOWN REJECTION) The envelope falls to the floor as you try to unfold the letter with shaky fingers.  Your fingers get stuck for an instant in the folds of the letter, before you open it flat in front of you.  Not wanting to skim through and read any word out of context, you do your best to keep your eyes glued to each line from the top as you read them."
q172,,,,"q161, q165",q180,,,"(UNKNOWN ACCEPTANCE) The envelope falls to the floor as you try to unfold the letter with shaky fingers.  Your fingers get stuck for an instant in the folds of the letter, before you open it flat in front of you.  Not wanting to skim through and read any word out of context, you do your best to keep your eyes glued to each line from the top as you read them."
q173,,,,q163,q180,,,"(PRETTY SURE OF ACCEPTANCE) The envelope falls to the floor as you try to unfold the letter with shaky fingers.  You’re so excited to see what the letter says you don’t even realize you opened it the wrong way until you process that your eyes are trying to read the Headmistress’s signature upside down.  You flip it quickly the right way, and then do your best to keep your eyes from rushing ahead of your brain."
q180,,,Font of Letter,"q170, q171, q172, q173",,,"c181.0, c181.1, c181.2, c181.3, c181.4",The letter greets you by name.
q181,,,Normal Font,,q190,c181.0,,"(EXCEPTIONAL ACCEPTANCE) It is our honor and privilege to welcome you warmly to the School of Aeithlynik!  Your application was quite impressive, and we know that you will shine among your peers in the #highestMajor major.  Congratulations!  We very much hope you will join us for this academic year.  Please send us your enrollment letter at your earliest convenience.  As a further welcome to the hallowed halls of Aeithlynik, we have included in here a #highestMajorColor appliqué, the color of your major, for you to display proudly on your hat.  We look forward to seeing you at the traditional Welcoming Ceremony on the last day of August, and hope you enjoy the rest of your summer."
q182,,,Normal Font,,q190,c181.1,,"(REGULAR ACCEPTANCE) It is our honor and privilege to welcome you to the School of Aeithlynik!  Your application was very promising and we look forward to see you take your place among your peers in the #highestMajor major.  Congratulations!  We hope you will join us for this academic year.  Please send us your enrollment letter at your earliest convenience.  As a further welcome to the hallowed halls of Aeithlynik, we have included in here a #highestMajorColor appliqué, the color of your major, for you to display proudly on your hat.  We look forward to seeing you at the traditional Welcoming Ceremony on the last day of August, and hope you enjoy the rest of your summer."
q183,,,Normal Font,,q190,c181.2,,"(BARELY ACCEPTED) It is our honor to welcome you to the School of Aeithlynik!  Your application was very telling of your personality and your broad spectrum of interests.  The other professors and I spent a long time deliberating over where you’ll fit best in the school.  We ultimately decided that you belong as part of the #highestMajor major.  Congratulations!  We look forward to your presence for this academic year.  Please send us your enrollment letter at your earliest convenience.  As a further welcome to the hallowed halls of Aeithlynik, we have included in here a #highestMajorColor appliqué, the color of your major, for you to display proudly on your hat.  We look forward to seeing you at the traditional Welcoming Ceremony on the last day of August, and hope you enjoy the rest of your summer."
q184,,,Normal Font,,q200,c181.3,,"(BARELY REJECTED, BUT IF YOU DO WELL YOU MIGHT BE ALLOWED TO TRANSFER IN.  IT HAPPENS RARELY, BUT IT HAPPENS BECAUSE WE DON’T WANT TO MISS OUT ON SOMEONE JUST BECAUSE WE COULDN’T SEE THEIR POTENTIAL) Thank you for applying to Aeithlynik.  Although your application was promising, we regret to inform you that this school would not make a good fit for your magical potential.  We have taken the liberty of sending your application down to our public sister school, Belvig Institute for Magical Learning.  The Belvig Institute takes a broader approach to the study of magic, for which we feel you would be better suited as compared to the focus Aeithlynik places on the disciplines of magic.  You should receive a letter from them shortly about enrolling.  Admission into Aeithlynik is rigorous, but it is possible to transfer in with a commendable first year at the public school.  Though rare, spaces for new students do open up from year to year.  While we are sure you’ll be satisfied with Belvig Institute’s magical education and the diverse fields of general study they cover, reapplications are tendered in the spring."
q185,,,Normal Font,,q200,c181.4,,"(YOU DEFINITELY BELONG IN PUBLIC SCHOOL BUT YOU’LL STILL BE ALLOWED ON AEITHLYNIK GROUNDS DURING THE SCHOOL DANCE ONCE A YEAR) Thank you for applying to Aeithlynik.  Based on your application, we can see that you are an individual with a broad range of interests. Since Aeithlynik is major-focused, we do not think this school will make a good fit for your magical aspirations.  We have already taken the liberty to send your application on to our public sister school, Belvig Institute of Magical Learning, and should be receiving a letter from them shortly about enrolling.  The Belvig Institute is just down the hill from Aeithlynik, so you will still have a chance to see the famed Aeithlynik grounds on special occasions.  We are sure you’ll be satisfied with Belvig Institute’s magical education and the diverse fields of general study they cover.  We hope you enjoy the rest of your summer."
q190,,,,"q181, q182, q183",q191,,,"It’s signed once again by Headmistress McMillan.  The signature is fluid but restrained, and you imagine briefly the kind of woman she must be.  Additional information about Aeithlynik, including what not to pack, when you’ll receive supplies, and a map to the school grounds, were folded into the envelope as well.  You’re so absorbed by reading and wondering which hat you’ll press the #highestMajorColor #highestMajor patch on you don’t even hear the door to your house open until your parents are there behind you, reading over your shoulder.  “Mom, Dad—guess what I received today!  I’m in!”"
q191,,,,q190,END,,,"“Congratulations, sweetness.”  Tender smiles all around.  “We’re very proud of you.”"
q200,,,,"q184, q185",q201,,,"It’s signed once again by Headmistress McMillan.  The wording is stiff and formulaic, and although it’s handwritten you wonder if they even bothered to write this specially for you, or if there’s just one generic letter they copy for everyone who didn’t get in.  You flip the letter over and pick up the envelope to look inside, but there’s nothing else.  You put the letter back in the envelope and drop it back on the floor.  You hear the door open and your parents come in.  “Honey?  What’s wrong?”"
q201,,,,q200,END,,,"Hugs and the promise of your favorite for dinner help to assuage some of the disappointment and upset you feel over your rejection.  The promise of a letter from the Belvig Institute doesn’t hurt either.  After all, at that school they have boys."
END,the end,,,"q191, q201",—,,,THE END.
